"DATE","count"
2015-11-07,33
2015-11-08,32
2015-11-09,36
2015-11-10,25
2015-11-11,30
2015-11-12,26
2015-11-13,39
2015-11-14,25
2015-11-15,33
2015-11-16,25
2015-11-17,16
2015-11-18,29
2015-11-19,34
2015-11-20,27
2015-11-21,16
2015-11-22,29
2015-11-23,32
2015-11-24,46
2015-11-25,46
2015-11-26,22
2015-11-27,29
2015-11-28,33
2015-11-29,28
2015-11-30,25
2015-12-01,25
2015-12-02,31
2015-12-03,20
2015-12-04,35
2015-12-05,25
2015-12-06,35
2015-12-07,35
2015-12-08,36
2015-12-09,40
2015-12-10,33
2015-12-11,38
2015-12-12,53
2015-12-13,23
2015-12-14,39
2015-12-15,43
2015-12-16,44
2015-12-17,42
2015-12-18,49
2015-12-19,43
2015-12-20,22
2015-12-21,38
2015-12-22,47
2015-12-23,38
2015-12-24,30
2015-12-25,20
2015-12-26,26
2015-12-27,23
2015-12-28,42
2015-12-29,24
2015-12-30,22
2015-12-31,29
2016-01-01,12
2016-01-02,19
2016-01-03,19
2016-01-04,21
2016-01-05,30
2016-01-06,23
2016-01-07,24
2016-01-08,35
2016-01-09,35
2016-01-10,26
2016-01-11,29
2016-01-12,26
2016-01-13,28
2016-01-14,26
2016-01-15,29
2016-01-16,17
2016-01-17,16
2016-01-18,17
2016-01-19,22
2016-01-20,24
2016-01-21,30
2016-01-22,34
2016-01-23,21
2016-01-24,14
2016-01-25,27
2016-01-26,24
2016-01-27,32
2016-01-28,24
2016-01-29,19
2016-01-30,11
2016-01-31,27
2016-02-01,26
2016-02-02,27
2016-02-03,23
2016-02-04,19
2016-02-05,24
2016-02-06,21
2016-02-07,18
2016-02-08,18
2016-02-09,21
2016-02-10,24
2016-02-11,19
2016-02-12,13
2016-02-13,17
2016-02-14,8
2016-02-15,19
2016-02-16,24
2016-02-17,28
2016-02-18,21
2016-02-19,14
2016-02-20,16
2016-02-21,27
2016-02-22,33
2016-02-23,27
2016-02-24,15
2016-02-25,22
2016-02-26,27
2016-02-27,21
2016-02-28,18
2016-02-29,23
2016-03-01,9
2016-03-02,21
2016-03-03,15
2016-03-04,24
2016-03-05,21
2016-03-06,25
2016-03-07,33
2016-03-08,23
2016-03-09,26
2016-03-10,42
2016-03-11,30
2016-03-12,20
2016-03-13,41
2016-03-14,39
2016-03-15,38
2016-03-16,31
2016-03-17,33
2016-03-18,23
2016-03-19,31
2016-03-20,24
2016-03-21,32
2016-03-22,24
2016-03-23,28
2016-03-24,34
2016-03-25,24
2016-03-26,27
2016-03-27,29
2016-03-28,33
2016-03-29,42
2016-03-30,31
2016-03-31,32
2016-04-01,18
2016-04-02,16
2016-04-03,31
2016-04-04,14
2016-04-05,20
2016-04-06,24
2016-04-07,22
2016-04-08,32
2016-04-09,23
2016-04-10,24
2016-04-11,24
2016-04-12,15
2016-04-13,25
2016-04-14,24
2016-04-15,23
2016-04-16,21
2016-04-17,22
2016-04-18,21
2016-04-19,36
2016-04-20,26
2016-04-21,29
2016-04-22,29
2016-04-23,29
2016-04-24,23
2016-04-25,29
2016-04-26,35
2016-04-27,16
2016-04-28,20
2016-04-29,19
2016-04-30,16
2016-05-01,22
2016-05-02,20
2016-05-03,32
2016-05-04,23
2016-05-05,29
2016-05-06,25
2016-05-07,21
2016-05-08,31
2016-05-09,14
2016-05-10,25
2016-05-11,25
2016-05-12,24
2016-05-13,31
2016-05-14,21
2016-05-15,24
2016-05-16,23
2016-05-17,22
2016-05-18,19
2016-05-19,25
2016-05-20,22
2016-05-21,22
2016-05-22,19
2016-05-23,28
2016-05-24,31
2016-05-25,23
2016-05-26,22
2016-05-27,19
2016-05-28,25
2016-05-29,25
2016-05-30,29
2016-05-31,29
2016-06-01,20
2016-06-02,20
2016-06-03,30
2016-06-04,15
2016-06-05,33
2016-06-06,38
2016-06-07,38
2016-06-08,45
2016-06-09,35
2016-06-10,30
2016-06-11,39
2016-06-12,33
2016-06-13,34
2016-06-14,25
2016-06-15,33
2016-06-16,32
2016-06-17,28
2016-06-18,25
2016-06-19,31
2016-06-20,42
2016-06-21,34
2016-06-22,31
2016-06-23,32
2016-06-24,22
2016-06-25,23
2016-06-26,38
2016-06-27,36
2016-06-28,42
2016-06-29,27
2016-06-30,32
2016-07-01,42
2016-07-02,31
2016-07-03,44
2016-07-04,41
2016-07-05,37
2016-07-06,31
2016-07-07,37
2016-07-08,31
2016-07-09,25
2016-07-10,34
2016-07-11,40
2016-07-12,28
2016-07-13,30
2016-07-14,34
2016-07-15,27
2016-07-16,27
2016-07-17,45
2016-07-18,42
2016-07-19,32
2016-07-20,36
2016-07-21,36
2016-07-22,28
2016-07-23,29
2016-07-24,27
2016-07-25,19
2016-07-26,29
2016-07-27,30
2016-07-28,21
2016-07-29,31
2016-07-30,17
2016-07-31,34
2016-08-01,25
2016-08-02,20
2016-08-03,19
2016-08-04,32
2016-08-05,29
2016-08-06,25
2016-08-07,31
2016-08-08,32
2016-08-09,27
2016-08-10,27
2016-08-11,32
2016-08-12,26
2016-08-13,36
2016-08-14,44
2016-08-15,39
2016-08-16,29
2016-08-17,42
2016-08-18,31
2016-08-19,42
2016-08-20,21
2016-08-21,27
2016-08-22,32
2016-08-23,24
2016-08-24,39
2016-08-25,34
2016-08-26,27
2016-08-27,29
2016-08-28,28
2016-08-29,41
2016-08-30,26
2016-08-31,31
2016-09-01,24
2016-09-02,33
2016-09-03,28
2016-09-04,28
2016-09-05,38
2016-09-06,38
2016-09-07,33
2016-09-08,41
2016-09-09,33
2016-09-10,33
2016-09-11,36
2016-09-12,28
2016-09-13,27
2016-09-14,30
2016-09-15,28
2016-09-16,36
2016-09-17,35
2016-09-18,39
2016-09-19,38
2016-09-20,23
2016-09-21,31
2016-09-22,40
