"DATE","count"
2015-01-25,1
2015-02-11,2
2015-02-16,1
2015-02-25,1
2015-02-26,1
2015-03-10,1
2015-04-07,1
2015-04-17,1
2015-05-22,1
2015-05-27,1
2015-05-30,1
2015-06-24,1
2015-07-05,1
2015-07-07,1
2015-08-02,1
2015-08-22,1
2015-09-03,1
2015-09-24,1
2015-09-27,1
2015-10-21,1
2015-10-29,1
2015-11-06,1
2015-11-14,1
2015-12-15,1
2015-12-21,1
2015-12-26,1
2016-01-13,1
2016-04-10,1
2016-06-02,1
2016-06-06,1
2016-06-20,1
2016-06-21,1
2016-07-27,1
2016-08-16,1
2016-08-18,1
2016-08-19,1
2016-09-14,2
2016-09-27,1
2016-10-02,1
2016-10-10,1
2016-10-19,1
2016-10-28,1
2016-10-31,1
2016-11-03,1
2016-11-09,1
2016-11-17,1
2016-12-04,1
2016-12-05,1
2017-01-05,1
2017-01-13,1
2017-01-24,1
2017-02-20,1
2017-03-09,1
2017-03-18,1
2017-05-07,1
2017-05-09,1
2017-05-14,1
2017-05-16,1
2017-05-23,1
2017-05-24,1
2017-05-26,1
2017-07-07,1
2017-07-16,1
2017-07-24,1
2017-08-07,1
2017-08-16,1
2017-08-29,1
2017-09-18,1
2017-10-05,1
2017-10-23,1
2017-10-27,1
2017-11-03,1
2017-11-19,1
2017-12-03,1
2018-01-28,1
2018-02-05,1
2018-02-08,1
2018-02-11,1
2018-02-17,1
2018-03-13,2
2018-03-29,1
2018-04-06,1
2018-05-11,1
2018-05-14,1
2018-05-15,1
2018-05-26,1
2018-06-25,1
2018-06-30,1
2018-07-14,1
2018-07-21,1
2018-08-09,1
2018-08-23,1
2018-08-28,1
2018-09-01,1
2018-09-13,1
2018-10-11,1
2018-10-15,1
2018-10-29,1
2018-11-01,1
2018-11-06,1
2018-11-09,1
2018-11-12,1
2018-11-27,1
2018-12-03,1
2019-01-24,1
2019-02-01,1
2019-02-06,1
2019-02-20,1
2019-02-26,1
2019-06-28,1
2019-07-20,1
2019-07-28,1
2019-07-29,1
2019-08-09,1
2019-09-16,2
2019-09-30,1
2019-10-21,1
2019-10-22,1
2019-10-24,2
2019-12-01,1
2019-12-02,1
2019-12-04,1
2019-12-11,1
2019-12-21,1
2019-12-25,1
2019-12-31,1
2020-01-27,1
2020-02-15,1
2020-03-15,1
2020-03-29,1
2020-04-01,1
2020-04-09,1
2020-04-22,1
2020-04-25,1
2020-05-05,1
2020-05-23,1
2020-05-26,1
2020-06-12,1
2020-07-22,1
2020-07-23,1
2020-07-25,1
2020-08-06,2
2020-08-24,1
2020-09-07,1
2020-10-03,1
2020-10-09,1
2020-10-10,1
2020-11-06,1
2020-11-16,1
2020-11-19,1
2020-12-05,1
2021-01-07,1
2021-01-17,1
2021-01-30,1
2021-02-01,1
2021-02-11,1
2021-03-19,1
2021-03-20,1
2021-05-17,1
2021-05-29,1
