"DATE","count"
2015-11-07,110
2015-11-08,112
2015-11-09,126
2015-11-10,87
2015-11-11,124
2015-11-12,112
2015-11-13,130
2015-11-14,112
2015-11-15,106
2015-11-16,102
2015-11-17,84
2015-11-18,101
2015-11-19,98
2015-11-20,104
2015-11-21,69
2015-11-22,93
2015-11-23,117
2015-11-24,117
2015-11-25,118
2015-11-26,85
2015-11-27,98
2015-11-28,94
2015-11-29,79
2015-11-30,104
2015-12-01,81
2015-12-02,91
2015-12-03,88
2015-12-04,117
2015-12-05,108
2015-12-06,91
2015-12-07,153
2015-12-08,109
2015-12-09,141
2015-12-10,109
2015-12-11,115
2015-12-12,123
2015-12-13,93
2015-12-14,124
2015-12-15,108
2015-12-16,111
2015-12-17,124
2015-12-18,110
2015-12-19,134
2015-12-20,77
2015-12-21,119
2015-12-22,120
2015-12-23,117
2015-12-24,81
2015-12-25,69
2015-12-26,89
2015-12-27,73
2015-12-28,96
2015-12-29,62
2015-12-30,71
2015-12-31,74
2016-01-01,62
2016-01-02,65
2016-01-03,85
2016-01-04,69
2016-01-05,86
2016-01-06,94
2016-01-07,94
2016-01-08,94
2016-01-09,84
2016-01-10,74
2016-01-11,115
2016-01-12,97
2016-01-13,94
2016-01-14,91
2016-01-15,96
2016-01-16,78
2016-01-17,74
2016-01-18,61
2016-01-19,75
2016-01-20,66
2016-01-21,103
2016-01-22,90
2016-01-23,86
2016-01-24,69
2016-01-25,116
2016-01-26,102
2016-01-27,96
2016-01-28,99
2016-01-29,89
2016-01-30,70
2016-01-31,67
2016-02-01,106
2016-02-02,84
2016-02-03,88
2016-02-04,78
2016-02-05,80
2016-02-06,60
2016-02-07,69
2016-02-08,80
2016-02-09,66
2016-02-10,75
2016-02-11,77
2016-02-12,93
2016-02-13,61
2016-02-14,44
2016-02-15,91
2016-02-16,74
2016-02-17,85
2016-02-18,72
2016-02-19,84
2016-02-20,64
2016-02-21,83
2016-02-22,112
2016-02-23,76
2016-02-24,71
2016-02-25,63
2016-02-26,84
2016-02-27,77
2016-02-28,57
2016-02-29,83
2016-03-01,61
2016-03-02,74
2016-03-03,65
2016-03-04,74
2016-03-05,69
2016-03-06,65
2016-03-07,102
2016-03-08,83
2016-03-09,76
2016-03-10,97
2016-03-11,85
2016-03-12,66
2016-03-13,98
2016-03-14,120
2016-03-15,100
2016-03-16,106
2016-03-17,96
2016-03-18,69
2016-03-19,84
2016-03-20,71
2016-03-21,90
2016-03-22,87
2016-03-23,97
2016-03-24,99
2016-03-25,66
2016-03-26,84
2016-03-27,91
2016-03-28,90
2016-03-29,122
2016-03-30,87
2016-03-31,88
2016-04-01,93
2016-04-02,78
2016-04-03,82
2016-04-04,81
2016-04-05,66
2016-04-06,92
